#,Dhatu Name,English,IPA,Dhatu Meaning
126,चच्,chach,t͡ʃət͡ʃ,to goto shaketo leap
127,चह्,chah,t͡ʃəɦ,"to be wicked, to be proud, to cheatto be wickedto be proudto cheat"
128,चक्,chak,t͡ʃək,"to be satisfiedto be satisfied, to repelto resist, to shine"
129,चकास्,chakas,t͡ʃəkaːs,"to shine, to be bright or prosperous"
130,चक्क्,chakk,t͡ʃəkk,"to suffer, to give pain"
131,चक्ष्,chaksh,t͡ʃəkʂ,"to speak, to tell, to see"
132,चल्,chal,t͡ʃəl,"to foster, to cherishto playto amuse oneself"
133,चम्,cham,t͡ʃəm,to eatto eatto drink
134,चम्ब्,chamb,t͡ʃəmb,to go
135,चम्प्,champ,t͡ʃəmp,to goto go
136,चण्,chan,t͡ʃəɳ,"to go, to sound"
137,चन्,chan,t͡ʃən,"to believe, to killto kill"
138,चण्ड्,chand,t͡ʃəɳɖ,to be angryto be angry
139,चन्द्,chand,t͡ʃənd,to be gladto shine
140,चङ्क्,chank,t͡ʃəŋk,to reelto roll
141,चप्,chap,t͡ʃəp,to consoleto soothto grind
142,चर्,char,t͡ʃər,"to doubtto goto walk, to grazeto eat"
143,चर्ब्,charb,t͡ʃərb,to go
144,चर्च्,charch,t͡ʃərt͡ʃ,"to discuss, to condemnto censureto peruse, to study"
145,चर्व्,charv,t͡ʃərv,"to chew, to eatto browseto chopto biteto eat, to chew"
146,चष्,chash,t͡ʃəʂ,to eat
147,चट्,chat,t͡ʃəʈ,"to break, to rain, to coverto kill, to injureto break"
148,चत्,chat,t͡ʃət,"to beg, to request"
149,चय्,chay,t͡ʃəj,to go
150,चाय्,chay,t͡ʃaːj,"to worship, to discern"
151,चेल्,chel,t͡ʃel,to shaketo go
152,चेष्ट्,chesht,t͡ʃeʂʈ,to act
153,छद्,chhad,t͡ʃʰəd,"to close, to conceal, to coverto conceal, to cover"
154,छम्,chham,t͡ʃʰəm,"to eat, to consume"
155,छन्द्,chhand,t͡ʃʰənd,"to coverto cover, to please, to persuade"
156,छर्द्,chhard,t͡ʃʰərd,to vomit
157,छष्,chhash,t͡ʃʰəʂ,"to hurtto injure, to kill"
158,छट्,chhat,t͡ʃʰəʈ,to coverto veilto hide
159,छेद्,chhed,t͡ʃʰed,"to divide, to cut"
160,छिद्,chhid,t͡ʃʰid,"to cut, to interrupt, to destroy"
161,छिद्र्,chhidr,t͡ʃʰidr,"to perforate, to bore"
162,छीक्,chhik,t͡ʃʰiːk,to endure
163,छिल्ल्,chhill,t͡ʃʰill,to become looseto act wantonlyto sport
164,छिन्ह्,chhinh,t͡ʃʰinɦ,to mark
165,छ्O,chho,t͡ʃʰo,"to cut, to mow"
166,छृद्,chhrid,t͡ʃʰr̩d,"to kindleto kindleto shine, to play"
167,छृप्,chhrip,t͡ʃʰr̩p,"to kindle, to beg"
168,छृष्,chhrish,t͡ʃʰr̩ʂ,to beg or request
169,छुड्,chhud,t͡ʃʰuɖ,to cover
170,छुप्,chhup,t͡ʃʰup,to touch
171,छुर्,chhur,t͡ʃʰur,to cutto engraveto envelop
172,छुट्,chhut,t͡ʃʰuʈ,to cut
173,चि,chi,t͡ʃi,"to collectto collect, to cover"
174,चीब्,chib,t͡ʃiːb,"to take, to wear, to cover"
175,चीभ्,chibh,t͡ʃiːb̤,"to coax, to boast"
176,चीक्,chik,t͡ʃiːk,to suffer
177,चिक्क्,chikk,t͡ʃikk,to give pain
178,चिल्,chil,t͡ʃil,to dress
179,चिन्त्,chint,t͡ʃint,"to contemplate, to think, to discussto remember"
180,चिरि,chiri,t͡ʃiri,to kill
181,चिट्,chit,t͡ʃiʈ,to send outto send out
182,चित्,chit,t͡ʃit,"to perceiveto thinkto recover consciousnessto think, to perceive, to see, to regain consciousness"
183,चित्र्,chitr,t͡ʃitr,"to paint, to make variegated, to see or regard anything as wonderful"
184,चीव्,chiv,t͡ʃiːv,"to speak, to shine"
185,चृप्,chrip,t͡ʃr̩p,"to excite, to lightto exciteto light"
186,चृत्,chrit,t͡ʃr̩t,to killto hurtto connect together
187,चुच्य,chuchya,t͡ʃut͡ʃjə,"to bathe, to churn, to press"
188,चुड्,chud,t͡ʃuɖ,to conceal
189,चुद्,chud,t͡ʃud,"to become smallto drive, to put forward, to press, to push on"
190,चुड्ड्,chudd,t͡ʃuɖɖ,"to sport, to hint one’s meaning"
191,चुक्क्,chukk,t͡ʃukk,to suffer pain
192,चुल्,chul,t͡ʃul,"to raise, to elevate"
193,चुल्ल्,chull,t͡ʃull,"to sport, to make amorous gestures"
194,चुलुम्प्,chulump,t͡ʃulump,"to swing, to rockto agitate"
195,चुम्ब्,chumb,t͡ʃumb,to killto kiss
196,चुण्ड्,chund,t͡ʃuɳɖ,"to become small, to cut off"
197,चुण्ट्,chunt,t͡ʃuɳʈ,to cut off
198,चुप्,chup,t͡ʃup,to move slowly
199,चुर्,chur,t͡ʃur,"to steal, to assume"
200,चूर्,chur,t͡ʃuːr,to burn
201,चूर्ण्,churn,t͡ʃuːrɳ,"to pulverize, to crush, to drive, to contract"
202,चूष्,chush,t͡ʃuːʂ,to drink
203,चुट्,chut,t͡ʃuʈ,cuṅḍ to cutto cut
204,च्यु,chyu,t͡ʃju,"to endure, to laughto goto drop downto fall, to swerve"
205,च्युस्,chyus,t͡ʃjus,"to endure, to laugh"
206,च्युत्,chyut,t͡ʃjut,to flowto trickle
207,दा,da,daː,to cutto giveto give
208,डब्,dab,ɖəb,"to throw, to send"
209,दद्,dad,dəd,to giveto offerto present
210,दध्,dadh,dəd̤,to hold: to possess
211,दघ्,dagh,dəɡ̤,"to destroy, to protect"
212,दह्,dah,dəɦ,to reduce to ashedto burnto scorchto torment
213,दै,dai,dæː,"to purifyto cleanse, to be purified"
214,दक्ष्,daksh,dəkʂ,"to goto killto increase, to do or act quickly"
215,दल्,dal,dəl,"to breakto splitto expand, to opento cut, to tear"
216,दम्,dam,dəm,"to be quiet, to restrain, to tame, to subdue"
217,दम्भ्,dambh,dəmb̤,"to deceive, to injureto send, to propel"
218,दान्,dan,daːn,"to cut off, to straighten"
219,दण्ड्,dand,dəɳɖ,"to punish, to fine, to be subdued"
220,दंस्,dans,dəns,to speak
221,दंश्,dansh,dənʃ,"to bite, to stingto biteto stingto see, to biteto speak"
222,डप्,dap,ɖəp,to collect
223,दरिद्रा,daridra,dəridraː,to be poorto be distressed
224,दस्,das,dəs,"to perishto see, to bite"
225,दास्,das,daːs,to give
226,दाश्,dash,daːʃ,to killto giveto offer an oblation
227,दात्,dat,daːt,"to cut, to divide"
228,दय्,day,dəj,"to pity, to giveto goto protectto killto take"
229,दाय्,day,daːj,to give
230,दे,de,de,to protect
231,देव्,dev,dev,"to play, to sportto lament"
232,धा,dha,d̤aː,"to hold, to put, to maintain, to give, to grant, to bear, to assume, to have"
233,धाख्,dhakh,d̤aːkʰ,"to be dry, to be able"
234,धक्क्,dhakk,d̤əkk,"to kill, to destroy"
235,धण्,dhan,d̤əɳ,to sound
236,धन्,dhan,d̤ən,"to bear fruit, to produce crops of grain"
237,धंस्,dhans,d̤əns,to fall downto perishto go
238,धन्व्,dhanv,d̤ənv,to go
239,ढौक्,dhauk,ɖ̤ɔːk,"to go, to approach"
240,धाव्,dhav,d̤aːv,"to runto flow, to cleanse, to wash"
241,धे,dhe,d̤e,"to suck, to drink, to draw"
242,धेक्,dhek,d̤ek,to see
243,धि,dhi,d̤i,to holdto possess
244,धी,dhi,d̤iː,"to support, to hold, to despise"
245,धिक्ष्,dhiksh,d̤ikʂ,"to kindle, to be harassed or weary, to live"
246,धिन्व्,dhinv,d̤inv,"to please, to delight"
247,धिष्,dhish,d̤iʂ,to sound
248,ध्मा,dhma,d̤maː,"to blowto breathe out, to produce sound by blowing, to blow a fire, to manufacture by blowing"
249,ध्Oर्,dhor,d̤or,"to go quickly, to run, to trotto be skilful"
250,ध्राड्,dhrad,d̤raːɖ,to divideto split
251,ध्राध्,dhradh,d̤raːd̤,to be able or competent
252,ध्रै,dhrai,d̤ræː,to be pleased
253,ध्रज्,dhraj,d̤rəd͡ʒ,to go
254,ध्रण्,dhran,d̤rəɳ,to sound as a drum or other instrument
255,ध्रण्ज्,dhranj,d̤rəɳd͡ʒ,to go
256,ध्रांक्ष्,dhranksh,d̤raːŋkʂ,to desireto cawto crow
257,ध्रस्,dhras,d̤rəs,to gleanto gleanto glean
258,ध्रेक्,dhrek,d̤rek,to soundto be filled with joy
259,धृ,dhri,d̤r̩,"to beto existto grow oldto hold, to oweto hold, to support, to possess, to keep, to seize, to place"
260,ध्रिज्,dhrij,d̤rid͡ʒ,to go
261,धृज्,dhrij,d̤r̩d͡ʒ,to go
262,धृष्,dhrish,d̤r̩ʂ,"to be bold, confident, impudent or impatientto challengeto come together, to hurt or injure, to offendto offend, to overcome"
263,ध्रु,dhru,d̤ru,to be firmto goto be fixed
264,ध्रुव्,dhruv,d̤ruv,to goto stand firm
265,धु,dhu,d̤u,to shaketo tremble
266,धू,dhu,d̤uː,"to shake, to agitateto shake, to exciteto shake, to exciteto shaketo cause to trembleto shaketo tremble"
267,धुक्ष्,dhuksh,d̤ukʂ,"to kindleto be harassed or weary, to live"
268,धूप्,dhup,d̤uːp,"to heat, to fumigate, to perfume, to be heatedto speak, to shine"
269,धूर्,dhur,d̤uːr,"to kill, to go"
270,धुर्व्,dhurv,d̤urv,"to injure, hurt or kill"
271,धूश्,dhush,d̤uːʃ,dhūs to make splendid
272,ध्वज्,dhvaj,d̤vəd͡ʒ,to goto go
273,ध्वण्,dhvan,d̤vəɳ,to sound
274,ध्वन्,dhvan,d̤vən,to soundto sound
275,ध्वांक्ष्,dhvanksh,d̤vaːŋkʂ,to desireto cawto crow
276,ध्वृ,dhvri,d̤vr̩,to bendto kill
277,ध्यै,dhyai,d̤jæː,"to think of, to meditate, to recollect"
278,डी,di,ɖiː,to flyto flyto pass through the air
279,दी,di,diː,"to perish, to decay"
280,दिधी,didhi,did̤iː,to shineto appear
281,दिक्ष्,diksh,dikʂ,to increaseto anointto soil
282,दीक्ष्,diksh,diːkʂ,"to be shavedto perform a sacrifice, to invest with a sacred threadto practise self-restraintto teach religious observancesto prepare oneself for the performance of a sacred riteto dedicate oneself to"
283,दिन्व्,dinv,dinv,"to be glad or pleased, to gladden, to please"
284,डिप्,dip,ɖip,"to collect, to heap togetherto throwto throw, to send"
285,दीप्,dip,diːp,"to shine, to burn, to be illustrious"
286,दिश्,dish,diʃ,to giveto orderto tellto showto grant
287,दिव्,div,div,"to cause to lamentto lamentto play with dice or gamble, to desireto overcome, to traffic, to shine, to praise, to be glad, to be mad or drunk, to be sleepy, to wish for, to goto rub"
288,द्O,do,do,"to cut, to mow"
289,द्रा,dra,draː,"to run, to fly, to be spoiled, to sleep"
290,द्राड्,drad,draːɖ,"to cut, to split"
291,द्राघ्,dragh,draːɡ̤,to be ableto stretchto exert oneselfto be wearyto vexto wander about
292,द्राह्,drah,draːɦ,to wake
293,द्रै,drai,dræː,to sleep
294,द्राख्,drakh,draːkʰ,to become dryto be ableto preventto adorn
295,द्रम्,dram,drəm,to goto run
296,द्रांक्ष्,dranksh,draːŋkʂ,"to desire, to utter a discordant sound"
297,द्रेक्,drek,drek,to soundto show joyto be exhilarated
298,दृ,dri,dr̩,"to killto fearto honourto care forto tear, to split opento fear"
299,दृभ्,dribh,dr̩b̤,"to fearto string, to connectto stringto connectto tieto string"
300,दृह्,drih,dr̩ɦ,to increaseto prosperto fastento be firm
301,दृंफ्,drinph,dr̩mpʰ,to give pain
302,दृप्,drip,dr̩p,"to be gladto be proudto give painto light, to kindleto lightto kindleto inflame"
303,दृफ्,driph,dr̩pʰ,to give pain
304,दृश्,drish,dr̩ʃ,to seeto beholdto visitto learnto investigate
305,द्र्Oढव्य,drodhavya,droɖ̤vjə,"drohitavya, drogdhum or droḍhum or drohitum"
306,द्रु,dru,dru,"to go, to flow, to runto retreat, to meltto attack, to rushto kill"
307,द्रुह्,druh,druɦ,"to bear hatred, to seek to hurt"
308,द्रुण्,drun,druɳ,to goto killto make crooked
309,दु,du,du,"to give pain, to burn, to be distressedto go"
310,दुह्,duh,duɦ,"to injure, hurt or killto milkto extractto yield"
311,दुह्ख्,duhkh,duɦkʰ,to give pain
312,दुल्,dul,dul,to shake to and fro
313,दुर्व्,durv,durv,to kill
314,दुष्,dush,duʂ,"to be soiled, to be impure, to sin"
315,द्विष्,dvish,dviʂ,to hateto dislike
316,द्वृ,dvri,dvr̩,"to cover, to appropriate"
317,द्यै,dyai,djæː,to despiseto disfigure
318,द्यु,dyu,dju,"to assail, to advance towards"
319,द्युत्,dyut,djut,to shineto be bright
320,एध्,edh,ed̤,"to grow: to increase, to prosper, to extend, to swell, to rise"
321,एज्,ej,ed͡ʒ,to shineto tremble or shake
322,एष्,esh,eʂ,to go
323,एट्,et,eʈ,to annoyto oppose
324,ग,ga,ɡə,"to sing, to relate"
325,गा,ga,ɡaː,"to praise, to be bornto go"
326,गड्,gad,ɡəɖ,to distil
327,गद्,gad,ɡəd,"to speak, to sayto thunder"
328,गाध्,gadh,ɡaːd̤,"to set out for, to dive, to seek, to compile, to string together, to stay"
329,गह्,gah,ɡəɦ,"to be thick, to enter deeply into"
330,गाह्,gah,ɡaːɦ,"to dive, to batheto penetrate, to agitate or churn, to be absorbed into hide onself into destroy"
331,गज्,gaj,ɡəd͡ʒ,to soundto soundto sound or roarto be drunk or confused
332,गल्,gal,ɡəl,"to eatto dripto flow, to dissolve"
333,गल्भ्,galbh,ɡəlb̤,to be bold or confident
334,गल्ह्,galh,ɡəlɦ,"to blame, to censure"
335,गम्,gam,ɡəm,to go
336,गण्,gan,ɡəɳ,to count
337,गण्ड्,gand,ɡəɳɖ,to affect the cheek
338,गन्द्,gand,ɡənd,to affect the cheek
339,गन्ध्र्,gandhr,ɡənd̤r,"to injure, to ask"
340,गर्ब्,garb,ɡərb,to go
341,गर्द्,gard,ɡərd,to sound
342,गर्द्ग्र्द्,gardgrd,ɡərdɡrd,to play
343,गर्ध्,gardh,ɡərd̤,to desire
344,गर्ह्,garh,ɡərɦ,"to blameto censureto censure, to blame"
345,गर्ज्,garj,ɡərd͡ʒ,to roarto growlto thunderto roar
346,गर्व्,garv,ɡərv,to be proudto be proud
347,गवेष्,gavesh,ɡəveʂ,"to seek, to hunt after"
348,गेप्,gep,ɡep,to shake
349,गेष्,gesh,ɡeʂ,to searchto investigate
350,गेव्,gev,ɡev,to seve
351,घघ्,ghagh,ɡ̤əɡ̤,to laugh
352,घण्ट्,ghant,ɡ̤əɳʈ,"to speak, to shineto speakto shine"
353,घर्ब्,gharb,ɡ̤ərb,to go
354,घस्,ghas,ɡ̤əs,to eatto devour
355,घट्,ghat,ɡ̤əʈ,"to actto be intently occupied withto happento be united withto come to, to reachto move,t o collect, to speak"
356,घट्ट्,ghatt,ɡ̤əʈʈ,"to shaketo shake, to stir"
357,घिण्ण्,ghinn,ɡ̤iɳɳ,to take
358,घ्रा,ghra,ɡ̤raː,to smell
359,घृ,ghri,ɡ̤r̩,"to sprinkle, to shineto sprinkle, to cover"
360,घृण्,ghrin,ɡ̤r̩ɳ,"to shine, to burn"
361,घृण्ण्,ghrinn,ɡ̤r̩ɳɳ,to take
362,घृष्,ghrish,ɡ̤r̩ʂ,"to grind, to pound, to strike, to rub, to brush, to polish"
363,घु,ghu,ɡ̤u,to sound
364,घुण्,ghun,ɡ̤uɳ,to rollto staggerto reel
365,घुण्ण्,ghunn,ɡ̤uɳɳ,to take
366,घुंष्,ghunsh,ɡ̤unʂ,to diffuse lustre
367,घुर्,ghur,ɡ̤ur,to frightento sound
368,घूर्,ghur,ɡ̤uːr,"to kill, to become old"
369,घूर्ण्,ghurn,ɡ̤uːrɳ,to rollto whirlto whirlto rollto reel
370,घुष्,ghush,ɡ̤uʂ,"to be beautiful or brilliantto proclaim, to announceto sound, to proclaim"
371,घुट्,ghut,ɡ̤uʈ,to strike againstto returnto exchange
372,ग्लै,glai,ɡlæː,"to despond, to waneto be fatigued"
373,ग्लेप्,glep,ɡlep,to be poor or miserableto shake
374,ग्लेष्,glesh,ɡleʂ,to seek
375,ग्लेव्,glev,ɡlev,to serve or worship
376,ग्लुच्,gluch,ɡlut͡ʃ,to go
377,ग्लुह्,gluh,ɡluɦ,to take
378,ग्Oम्,gom,ɡom,"to smear, to anoint"
379,ग्Oष्ट्,gosht,ɡoʂʈ,to assembleto collectto heap together
380,ग्रह्,grah,ɡrəɦ,to taketo captivateto buyto understand
381,ग्राम्,gram,ɡraːm,"to invite, to conceal"
382,ग्रन्थ्,granth,ɡrəntʰ,"to be crooked or wicked, to bendto bind, to arrangeto bind, to arrange in a regular orderto put togetherto composeto arrange, to fasten"
383,ग्रस्,gras,ɡrəs,"to eatto devour, to swallowto consumeto seizeto eclipseto destroyto take, to devour"
384,गृ,gri,ɡr̩,"to knowto soundto speakto praiseto sprinkle, to wetto swallow"
385,गृध्,gridh,ɡr̩d̤,"to covet, to long for"
386,गृह्,grih,ɡr̩ɦ,"to take, to seizeto taketo seize"
387,गृज्,grij,ɡr̩d͡ʒ,"to sound, to roar, to grumble"
388,ग्रुच्,gruch,ɡrut͡ʃ,to steal
389,गु,gu,ɡu,to speak inarticulatelyto void or discharge excrement
390,गुड्,gud,ɡuɖ,to protect
391,गुद्,gud,ɡud,to play
392,गुध्,gudh,ɡud̤,to be angryto coverto play
393,गुह्,guh,ɡuɦ,to coverto hide
394,गुज्,guj,ɡud͡ʒ,"to hum or buzzto hum or buzz, to sound inarticulatelyto sound"
395,गुण्,gun,ɡuɳ,"to invite, to advise, to multiply"
396,गुण्ड्,gund,ɡuɳɖ,"to enclose, to protect, to poundto envelope, to protect, to pound"
397,गुन्द्,gund,ɡund,to tell a lie
398,गुण्ठ्,gunth,ɡuɳʈʰ,"to enclose, to envelopto encloseto envelope"
399,गुप्,gup,ɡup,"to be confused or disturbedto censureto despise, to hideto protect, to concealto speak, to conceal, to shine"
400,गुफ्,guph,ɡupʰ,to string together
401,गुर्,gur,ɡur,"to kill, to goto make an effort"
402,गूर्,gur,ɡuːr,to make an effort
403,गुर्द्,gurd,ɡurd,to dwell
404,गूर्द्,gurd,ɡuːrd,to praise
405,गुर्व्,gurv,ɡurv,"to endeavour, to elevate"
406,हा,ha,ɦaː,"to abandon, to leave, to desert, to omit, to neglectto go, to aggainto go, to attain"
407,हद्,had,ɦəd,to void or discharge excrement
408,हाद्,had,ɦaːd,"to sound, to row"
409,हग्,hag,ɦəɡ,"to cover, to conceal"
410,हल्,hal,ɦəl,"to express amorous inclinationsto plough, to make furrows, to goto shake, to go"
411,हम्म्,hamm,ɦəmm,"to go, to move"
412,हन्,han,ɦən,"to kill, to go"
413,हर्य्,hary,ɦərj,"to go, to shine"
414,हस्,has,ɦəs,"to laugh, to smile, to joke, to open, to resemble, to ridiculeto sound, to become small"
415,हट्,hat,ɦəʈ,to shine
416,हठ्,hath,ɦəʈʰ,"to leap, to be wicked, to treat with violence"
417,हेड्,hed,ɦeɖ,"to disrgardto surround, to clothe"
418,हेष्,hesh,ɦeʂ,"to brayto roar,  to neigh"
419,हेट्,het,ɦeʈ,"to be wicked, to vex"
420,हेठ्,heth,ɦeʈʰ,"to be wicked, to vex, to hinder"
421,हि,hi,ɦi,to goto grow
422,हीछ्,hichh,ɦiːt͡ʃʰ,"to be ashamed or modest, to blush"
423,हिड्,hid,ɦiɖ,"to go, to wander, to disregard"
424,हिक्क्,hikk,ɦikk,"to injure, to killto make any indistinct sound"
425,हिंस्,hins,ɦins,to killto kill
426,हिन्व्,hinv,ɦinv,"to please, to satisfy"
427,हिष्क्,hishk,ɦiʂk,"to injure, to kill"
428,हिट्,hit,ɦiʈ,"to curse, to swear, to shout"
